Product Name	Rating	Price	Region	Country
Maison Chanzy En Rosey Rully Rouge 201920	3.9	19.99	Rully	French
Chteau Grand Faurie La Rose Saintmilion Grand Cru 201819	3.9	19.99	Saint-Émilion Grand Cru	French
The Kings Wrath Pinot Noir 202021 Marlborough	3.8	11.99	Marlborough	New Zealand
Villa Maria Reserve Cabernet SauvignonMerlot 2019 Hawkes Bay	4.0	17.99	Hawke's Bay	New Zealand
Definition Zinfandel 201920 Lodi	3.8	7.99	Lodi	USA
Ravenswood Zinfandel 202021 Lodi	3.8	11.99	Lodi	USA
Toast Honey Pinot Noir 2021 California	4.0	12.99	Lodi	USA
Toast Honey Cabernet Sauvignon 2021 California	3.8	12.99	Lodi	USA
Bread Butter Cabernet Sauvignon 2021 California	4.0	13.99	California	USA
Bread Butter Pinot Noir 2021 California	4.0	13.99	Napa Valley	USA
Chateau Ste Michelle Cabernet Sauvignon 201819 Columbia Valley	3.8	14.99	Columbia Valley	USA
3 Finger Jack Zinfandel 201920 Lodi	4.1	14.99	Lodi	USA
Chronic Cellars Purple Paradise 201920 Paso Robles	3.8	14.99	Paso Robles	USA
Chronic Cellars Sir Real Cabernet Sauvignon 202021 Paso Robles	3.9	14.99	Paso Robles	USA
Smith Wright Merlot 202021 Australia	3.8	5.99	South Eastern Australia	Australia
Kangarilla Road Primitivo 201819 McLaren Vale	3.8	7.99	McLaren Vale	Australia
Definition GSM 202021 South Australia	3.8	7.99	South Australia	Australia
Plum Pepper Barossa Shiraz 2017	3.8	8.99	Barossa Valley	Australia
19 Crimes Red Blend 202021 Australia	4.0	8.99	Victoria	Australia
Casella PepperBox Shiraz 202021 South Eastern Australia	4.0	9.99	South Eastern Australia	Australia
Kangarilla Road Shiraz 202021 McLaren Vale	3.8	10.99	McLaren Vale	Australia
Jim Barry Cover Drive Cabernet Sauvignon 201920 Australia	3.8	10.99	Clare Valley	Australia
Definition Barossa Shiraz 201920	3.9	11.99	Barossa Valley	Australia
Two Hands Tenacity Old Vine Shiraz 202122 Australia	3.8	12.99	McLaren Vale	Australia
Penfolds Koonunga Hill Seventy Six ShirazCabernet Sauvignon 201921 South Australia	3.8	12.99	South Australia	Australia
Peter Lehmann The Barossan Shiraz 201920 Barossa	3.9	15.99	Barossa Valley	Australia
Two Hands Angels Share Shiraz 202122 McLaren Vale	4.0	18.99	McLaren Vale	Australia
Two Hands Gnarly Dudes Shiraz 202122 Barossa Valley	4.0	18.99	Barossa Valley	Australia
Two Hands Sexy Beast Cabernet Sauvignon 202122 McLaren Vale	4.0	18.99	McLaren Vale	Australia
Cape Mentelle Shiraz 2018 Margaret River	3.9	19.99	Margaret River	Australia
Penfolds Maxs ShirazCabernet Sauvignon 201819 Australia	3.8	19.99	South Australia	Australia
Torbreck Woodcutters Shiraz 202021 Barossa	3.9	19.99	Barossa Valley	Australia
Penfolds Bin 2 ShirazMataro 201920 South Australia	3.8	19.99	South Australia	Australia
Porta 6 202021 Lisbon	3.8	7.99	Lisboa	Portugal
LB7 Red Reserva 2018 Lisbon	3.8	9.99	Central Valley	Portugal
Managers Choice Agenda Red 201920 Do	3.8	9.99	Douro	Portugal
Behind Closed Doors Reserva Red 201819 Lisbon	3.9	9.99	Lisboa	Portugal
Fonseca Bin 27 Port	3.8	13.99	Porto	Portugal
Casa Ermelinda Freitas Alicante Bouschet Reserva 2019 Setbal	3.9	14.99	Península de Setúbal	Portugal
Las Maletas Malbec 202223 Mendoza	3.8	6.99	Mendoza	Argentina
Alturo Malbec 202122 Mendoza	3.9	8.99	Mendoza	Argentina
Marcelo Pelleriti Malbec 202021 Mendoza	4.1	9.99	Mendoza	Argentina
Vialba Parrilla Malbec 202022 Mendoza	3.8	9.99	Mendoza	Argentina
Matias Riccitelli Hey Malbec 202122 Mendoza	3.8	10.99	Mendoza	Argentina
Vialba Reserve MalbecTouriga Nacional 202021 Mendoza	4.1	10.99	Mendoza	Argentina
Catena Malbec 202021 Mendoza	4.0	12.99	Mendoza	Argentina
Catena Cabernet Sauvignon 201921 Mendoza	3.9	12.99	Mendoza	Argentina
Zuccardi Q Malbec 202021 Mendoza	3.9	14.99	Uco Valley	Argentina
Vialba Gran Reservado Malbec 201920 Mendoza	4.0	16.99	Mendoza	Argentina
Terrazas de los Andes Malbec 202021 Mendoza	4.2	16.99	Mendoza	Argentina
Mendel Selection Malbec 201820 Mendoza	4.0	19.99	Mendoza	Argentina
Mayu Carmnre Appassimento 201819 Chile	3.8	10.99	Coquimbo	Chile
Montes Single Vineyard Merlot 202021 Colchagua Valley	3.8	10.99	Colchagua Valley	Chile
Santa Rita Medalla Real Carmnre 201921 Colchagua Valley	3.8	11.99	Colchagua Valley	Chile
Clos de Luz Arao Carmnre Red Blend 201819 Chile	3.8	11.99	Cachapoal Valley	Chile
Errazuriz Max Reserva Cabernet 201819 Aconcagua Valley	3.8	12.99	Aconcagua Valley	Chile
Marea Syrah 202021 Leyda Valley	3.9	13.99	Leyda Valley	Chile
LFE 900 SingleVineyard 201617 Colchagua Valley	4.0	14.99	Colchagua Valley	Chile
Las Veletas Almaule Pas 2021 Maule Valley	3.9	14.99	Maule Valley	Chile
Santa Rita Triple C 2020 Maipo Valley	4.1	15.99	Maipo Valley	Chile
Managers Choice VIK A Cabernet Sauvignon 202021 Cachapoal Valley	4.2	16.99	Cachapoal Valley	Chile
